14:49:23 | veritabani           | INFO    | Veritabanı bağlantısı açıldı: /home/cafer/Documents/MyWorkspace/ZET Yapı/Application/FormOlusturma/veri/proje_yonetimi.db
14:49:23 | main                 | INFO    | Veritabanı: /home/cafer/Documents/MyWorkspace/ZET Yapı/Application/FormOlusturma/veri/proje_yonetimi.db
14:49:23 | migration            | INFO    | Migration v1 uygulanıyor: Şema sürüm tablosu
14:49:23 | migration            | INFO    | Migration v1 tamamlandı.
14:49:23 | migration            | INFO    | Migration v2 uygulanıyor: Kullanıcılar tablosu
14:49:23 | migration            | INFO    | Migration v2 tamamlandı.
14:49:23 | migration            | INFO    | Migration v3 uygulanıyor: Projeler tablosu
14:49:23 | migration            | INFO    | Migration v3 tamamlandı.
14:49:23 | migration            | INFO    | Migration v4 uygulanıyor: Belgeler tablosu
14:49:23 | migration            | INFO    | Migration v4 tamamlandı.
14:49:23 | migration            | INFO    | Migration v5 uygulanıyor: Ürünler tablosu
14:49:23 | migration            | INFO    | Migration v5 tamamlandı.
14:49:23 | migration            | INFO    | Migration v6 uygulanıyor: Ürün alanları tablosu
14:49:23 | migration            | INFO    | Migration v6 tamamlandı.
14:49:23 | migration            | INFO    | Migration v7 uygulanıyor: Ürün alan seçenekleri tablosu
14:49:23 | migration            | INFO    | Migration v7 tamamlandı.
14:49:23 | migration            | INFO    | Migration v8 uygulanıyor: Alt kalemler tablosu
14:49:23 | migration            | INFO    | Migration v8 tamamlandı.
14:49:23 | migration            | INFO    | Migration v9 uygulanıyor: Ürün alt kalemleri tablosu
14:49:23 | migration            | INFO    | Migration v9 tamamlandı.
14:49:23 | migration            | INFO    | Migration v10 uygulanıyor: Belge ürünleri tablosu
14:49:23 | migration            | INFO    | Migration v10 tamamlandı.
14:49:23 | migration            | INFO    | Migration v11 uygulanıyor: Belge alt kalemleri tablosu
14:49:23 | migration            | INFO    | Migration v11 tamamlandı.
14:49:23 | migration            | INFO    | Migration v12 uygulanıyor: Hareket logları tablosu
14:49:23 | migration            | INFO    | Migration v12 tamamlandı.
14:49:23 | migration            | INFO    | Toplam 12 migration uygulandı. Mevcut sürüm: v12
14:49:23 | main                 | INFO    | 12 migration uygulandı.
14:49:23 | kullanici_repo       | INFO    | Kullanıcı oluşturuldu: admin
14:49:23 | kimlik_servisi       | INFO    | Kullanıcı oluşturuldu: admin
14:49:23 | kimlik_servisi       | INFO    | Varsayılan admin kullanıcısı oluşturuldu. (admin / admin123)
14:49:23 | main                 | INFO    | Uygulama başlatıldı.
14:49:23 | main                 | INFO    | Varsayılan giriş: admin / admin123
14:49:27 | kimlik_servisi       | WARNING | Başarısız giriş: admin (yanlış şifre)
14:49:34 | veritabani           | INFO    | Veritabanı bağlantısı kapatıldı.
14:49:34 | main                 | INFO    | Uygulama kapatıldı.
14:49:48 | veritabani           | INFO    | Veritabanı bağlantısı açıldı: /home/cafer/Documents/MyWorkspace/ZET Yapı/Application/FormOlusturma/veri/proje_yonetimi.db
14:49:48 | main                 | INFO    | Veritabanı: /home/cafer/Documents/MyWorkspace/ZET Yapı/Application/FormOlusturma/veri/proje_yonetimi.db
14:49:48 | migration            | INFO    | Tüm migration'lar güncel.
14:49:48 | main                 | INFO    | Uygulama başlatıldı.
14:49:48 | main                 | INFO    | Varsayılan giriş: admin / admin123
14:49:52 | kimlik_servisi       | INFO    | Giriş başarılı: admin (Admin)
14:50:36 | kimlik_servisi       | INFO    | Çıkış: admin
14:54:04 | kimlik_servisi       | INFO    | Giriş başarılı: admin (Admin)
15:00:43 | kimlik_servisi       | INFO    | Çıkış: admin
